"Town","FIPS","Year","Entry","Rank","Variable","Measure Type","Value"
"Morris","0900549460",2015,"Downes Robert W & Mary Ann G",6,"Percent of Net Grand List","Percent",0.59
"Morris","0900549460",2015,"Far Meadow Farm",7,"Percent of Net Grand List","Percent",0.54
"Morris","0900549460",2015,"Berlind Roger S & Brook W",8,"Percent of Net Grand List","Percent",0.52
"Morris","0900549460",2015,"Geremia David M",9,"Percent of Net Grand List","Percent",0.47
"Morris","0900549460",2015,"Longo Peter F",10,"Percent of Net Grand List","Percent",0.47
"Morris","0900549460",2015,"White Memorial Foundation",1,"Percent of Top 10 Total Grand List","Percent",33.94
"Morris","0900549460",2015,"Dunn LLC",2,"Percent of Top 10 Total Grand List","Percent",18.09
"Morris","0900549460",2015,"City of Waterbury",3,"Percent of Top 10 Total Grand List","Percent",14.54
"Morris","0900549460",2015,"CT Light &  Power",4,"Percent of Top 10 Total Grand List","Percent",8.21
"Morris","0900549460",2015,"White Flower Farm Inc.",5,"Percent of Top 10 Total Grand List","Percent",6.19
"Morris","0900549460",2015,"Downes Robert W & Mary Ann G",6,"Percent of Top 10 Total Grand List","Percent",4.36
"Morris","0900549460",2015,"Far Meadow Farm",7,"Percent of Top 10 Total Grand List","Percent",3.95
"Morris","0900549460",2015,"Berlind Roger S & Brook W",8,"Percent of Top 10 Total Grand List","Percent",3.8
"Morris","0900549460",2015,"Geremia David M",9,"Percent of Top 10 Total Grand List","Percent",3.48
"Morris","0900549460",2015,"Longo Peter F",10,"Percent of Top 10 Total Grand List","Percent",3.45
"Morris","0900549460",2015,"White Memorial Foundation",1,"Percent of Total Grand List","Percent",4.59
"Morris","0900549460",2015,"Dunn LLC",2,"Percent of Total Grand List","Percent",2.45
"Morris","0900549460",2015,"City of Waterbury",3,"Percent of Total Grand List","Percent",1.97
"Morris","0900549460",2015,"CT Light &  Power",4,"Percent of Total Grand List","Percent",1.11
"Morris","0900549460",2015,"White Flower Farm Inc.",5,"Percent of Total Grand List","Percent",0.84
"Morris","0900549460",2015,"Downes Robert W & Mary Ann G",6,"Percent of Total Grand List","Percent",0.59
"Morris","0900549460",2015,"Far Meadow Farm",7,"Percent of Total Grand List","Percent",0.53
"Morris","0900549460",2015,"Berlind Roger S & Brook W",8,"Percent of Total Grand List","Percent",0.51
"Morris","0900549460",2015,"Geremia David M",9,"Percent of Total Grand List","Percent",0.47
"Morris","0900549460",2015,"Longo Peter F",10,"Percent of Total Grand List","Percent",0.47
"Naugatuck","0900949950",2016,"CT Light & Power",1,"Grand List Value","Number",22229740
"Naugatuck","0900949950",2016,"Yankee Gas",2,"Grand List Value","Number",20083120
"Naugatuck","0900949950",2016,"CT Water Co",3,"Grand List Value","Number",18983340
"Naugatuck","0900949950",2016,"Mancinone Realty",4,"Grand List Value","Number",10848280
"Naugatuck","0900949950",2016,"Garden Homes Naugatuck",5,"Grand List Value","Number",9215240
"Naugatuck","0900949950",2016,"Walmart Real Estate",6,"Grand List Value","Number",8599800
"Naugatuck","0900949950",2016,"Bridge Shopping Center",7,"Grand List Value","Number",7393480
"Naugatuck","0900949950",2016,"Ansonia Acquisitions I LLC",8,"Grand List Value","Number",6631280
"Naugatuck","0900949950",2016,"Ion Bank",9,"Grand List Value","Number",6405730
"Naugatuck","0900949950",2016,"Southwood Gardens LLC",10,"Grand List Value","Number",5180000
"Naugatuck","0900949950",2016,"CT Light & Power",1,"Percent of Net Grand List","Percent",1.38
"Naugatuck","0900949950",2016,"Yankee Gas",2,"Percent of Net Grand List","Percent",1.25
"Naugatuck","0900949950",2016,"CT Water Co",3,"Percent of Net Grand List","Percent",1.18
"Naugatuck","0900949950",2016,"Mancinone Realty",4,"Percent of Net Grand List","Percent",0.68
"Naugatuck","0900949950",2016,"Garden Homes Naugatuck",5,"Percent of Net Grand List","Percent",0.57
"Naugatuck","0900949950",2016,"Walmart Real Estate",6,"Percent of Net Grand List","Percent",0.54
"Naugatuck","0900949950",2016,"Bridge Shopping Center",7,"Percent of Net Grand List","Percent",0.46
"Naugatuck","0900949950",2016,"Ansonia Acquisitions I LLC",8,"Percent of Net Grand List","Percent",0.41
"Naugatuck","0900949950",2016,"Ion Bank",9,"Percent of Net Grand List","Percent",0.4
"Naugatuck","0900949950",2016,"Southwood Gardens LLC",10,"Percent of Net Grand List","Percent",0.32
"Naugatuck","0900949950",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",19.23
"Naugatuck","0900949950",2016,"Yankee Gas",2,"Percent of Top 10 Total Grand List","Percent",17.38
"Naugatuck","0900949950",2016,"CT Water Co",3,"Percent of Top 10 Total Grand List","Percent",16.43
"Naugatuck","0900949950",2016,"Mancinone Realty",4,"Percent of Top 10 Total Grand List","Percent",9.39
"Naugatuck","0900949950",2016,"Garden Homes Naugatuck",5,"Percent of Top 10 Total Grand List","Percent",7.97
"Naugatuck","0900949950",2016,"Walmart Real Estate",6,"Percent of Top 10 Total Grand List","Percent",7.44
"Naugatuck","0900949950",2016,"Bridge Shopping Center",7,"Percent of Top 10 Total Grand List","Percent",6.4
"Naugatuck","0900949950",2016,"Ansonia Acquisitions I LLC",8,"Percent of Top 10 Total Grand List","Percent",5.74
"Naugatuck","0900949950",2016,"Ion Bank",9,"Percent of Top 10 Total Grand List","Percent",5.54
"Naugatuck","0900949950",2016,"Southwood Gardens LLC",10,"Percent of Top 10 Total Grand List","Percent",4.48
"Naugatuck","0900949950",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",1.34
"Naugatuck","0900949950",2016,"Yankee Gas",2,"Percent of Total Grand List","Percent",1.21
"Naugatuck","0900949950",2016,"CT Water Co",3,"Percent of Total Grand List","Percent",1.15
"Naugatuck","0900949950",2016,"Mancinone Realty",4,"Percent of Total Grand List","Percent",0.65
"Naugatuck","0900949950",2016,"Garden Homes Naugatuck",5,"Percent of Total Grand List","Percent",0.56
"Naugatuck","0900949950",2016,"Walmart Real Estate",6,"Percent of Total Grand List","Percent",0.52
"Naugatuck","0900949950",2016,"Bridge Shopping Center",7,"Percent of Total Grand List","Percent",0.45
"Naugatuck","0900949950",2016,"Ansonia Acquisitions I LLC",8,"Percent of Total Grand List","Percent",0.4
"Naugatuck","0900949950",2016,"Ion Bank",9,"Percent of Total Grand List","Percent",0.39
"Naugatuck","0900949950",2016,"Southwood Gardens LLC",10,"Percent of Total Grand List","Percent",0.31
"New Britain","0900350440",2016,"CT Light & Power",1,"Grand List Value","Number",63667025
"New Britain","0900350440",2016,"Pebblebrook Apartments",2,"Grand List Value","Number",19675530
"New Britain","0900350440",2016,"Stanley Works",3,"Grand List Value","Number",15678901
"New Britain","0900350440",2016,"CT Natural Gas Corp",4,"Grand List Value","Number",13057656
"New Britain","0900350440",2016,"Investment Associates LTP",5,"Grand List Value","Number",11588520
"New Britain","0900350440",2016,"Corbin Pinnacle LLC",6,"Grand List Value","Number",10920205
"New Britain","0900350440",2016,"Inland Southeast New Britain",7,"Grand List Value","Number",9852570
"New Britain","0900350440",2016,"NB - BTMC LLC",8,"Grand List Value","Number",9800000
"New Britain","0900350440",2016,"NETz BHNV - New Britain LLC",9,"Grand List Value","Number",9376918
"New Britain","0900350440",2016,"Paramount Plaza at New Brite",10,"Grand List Value","Number",9239650
"New Britain","0900350440",2016,"CT Light & Power",1,"Percent of Net Grand List","Percent",2.59
"New Britain","0900350440",2016,"Pebblebrook Apartments",2,"Percent of Net Grand List","Percent",0.8
"New Britain","0900350440",2016,"Stanley Works",3,"Percent of Net Grand List","Percent",0.64
"New Britain","0900350440",2016,"CT Natural Gas Corp",4,"Percent of Net Grand List","Percent",0.53
"New Britain","0900350440",2016,"Investment Associates LTP",5,"Percent of Net Grand List","Percent",0.47
"New Britain","0900350440",2016,"Corbin Pinnacle LLC",6,"Percent of Net Grand List","Percent",0.44
"New Britain","0900350440",2016,"Inland Southeast New Britain",7,"Percent of Net Grand List","Percent",0.4
"New Britain","0900350440",2016,"NB - BTMC LLC",8,"Percent of Net Grand List","Percent",0.4
"New Britain","0900350440",2016,"NETz BHNV - New Britain LLC",9,"Percent of Net Grand List","Percent",0.38
"New Britain","0900350440",2016,"Paramount Plaza at New Brite",10,"Percent of Net Grand List","Percent",0.38
"New Britain","0900350440",2016,"CT Light & Power",1,"Percent of Top 10 Total Grand List","Percent",36.83
"New Britain","0900350440",2016,"Pebblebrook Apartments",2,"Percent of Top 10 Total Grand List","Percent",11.38
"New Britain","0900350440",2016,"Stanley Works",3,"Percent of Top 10 Total Grand List","Percent",9.07
"New Britain","0900350440",2016,"CT Natural Gas Corp",4,"Percent of Top 10 Total Grand List","Percent",7.55
"New Britain","0900350440",2016,"Investment Associates LTP",5,"Percent of Top 10 Total Grand List","Percent",6.7
"New Britain","0900350440",2016,"Corbin Pinnacle LLC",6,"Percent of Top 10 Total Grand List","Percent",6.32
"New Britain","0900350440",2016,"Inland Southeast New Britain",7,"Percent of Top 10 Total Grand List","Percent",5.7
"New Britain","0900350440",2016,"NB - BTMC LLC",8,"Percent of Top 10 Total Grand List","Percent",5.67
"New Britain","0900350440",2016,"NETz BHNV - New Britain LLC",9,"Percent of Top 10 Total Grand List","Percent",5.42
"New Britain","0900350440",2016,"Paramount Plaza at New Brite",10,"Percent of Top 10 Total Grand List","Percent",5.35
"New Britain","0900350440",2016,"CT Light & Power",1,"Percent of Total Grand List","Percent",2.46
"New Britain","0900350440",2016,"Pebblebrook Apartments",2,"Percent of Total Grand List","Percent",0.76
"New Britain","0900350440",2016,"Stanley Works",3,"Percent of Total Grand List","Percent",0.61
"New Britain","0900350440",2016,"CT Natural Gas Corp",4,"Percent of Total Grand List","Percent",0.51
"New Britain","0900350440",2016,"Investment Associates LTP",5,"Percent of Total Grand List","Percent",0.45
"New Britain","0900350440",2016,"Corbin Pinnacle LLC",6,"Percent of Total Grand List","Percent",0.42
"New Britain","0900350440",2016,"Inland Southeast New Britain",7,"Percent of Total Grand List","Percent",0.38
"New Britain","0900350440",2016,"NB - BTMC LLC",8,"Percent of Total Grand List","Percent",0.38
"New Britain","0900350440",2016,"NETz BHNV - New Britain LLC",9,"Percent of Total Grand List","Percent",0.36
"New Britain","0900350440",2016,"Paramount Plaza at New Brite",10,"Percent of Total Grand List","Percent",0.36
"New Canaan","0900150580",2013,-6666,1,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,2,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,3,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,4,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,5,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,6,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,7,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,8,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,9,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,10,"Grand List Value","Number",-6666
"New Canaan","0900150580",2013,-6666,1,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,2,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,3,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,4,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,5,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,6,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,7,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,8,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,9,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,10,"Percent of Net Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,1,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,2,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,3,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,4,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,5,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,6,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,7,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,8,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,9,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,10,"Percent of Top 10 Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,1,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,2,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,3,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,4,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,5,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,6,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,7,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,8,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,9,"Percent of Total Grand List","Percent",-6666
"New Canaan","0900150580",2013,-6666,10,"Percent of Total Grand List","Percent",-6666
"New Fairfield","0900150860",2014,"Eversource",1,"Grand List Value","Number",206782.32
"New Fairfield","0900150860",2014,"Firstlight Hydro Generating Co",2,"Grand List Value","Number",192776.06
"New Fairfield","0900150860",2014,"Charter New Fairfield",3,"Grand List Value","Number",169780.8
"New Fairfield","0900150860",2014,"Twenty-Eight Route 39 LLC",4,"Grand List Value","Number",65236.52
"New Fairfield","0900150860",2014,"Pritula Michael & Donna",5,"Grand List Value","Number",60244.8
"New Fairfield","0900150860",2014,"Santomero Gloria",6,"Grand List Value","Number",57289.94
"New Fairfield","0900150860",2014,"Larsen Jan & Galka-Larsen Theresa",7,"Grand List Value","Number",54841.02
"New Fairfield","0900150860",2014,"Sugar Hill Properties",8,"Grand List Value","Number",53646.56
"New Fairfield","0900150860",2014,"Vogel Stephen & Laurie",9,"Grand List Value","Number",51893.98
"New Fairfield","0900150860",2014,"McConvey Katherine",10,"Grand List Value","Number",49205.14
"New Fairfield","0900150860",2014,"Eversource",1,"Percent of Net Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Firstlight Hydro Generating Co",2,"Percent of Net Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Charter New Fairfield",3,"Percent of Net Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Twenty-Eight Route 39 LLC",4,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Pritula Michael & Donna",5,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Santomero Gloria",6,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Larsen Jan & Galka-Larsen Theresa",7,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Sugar Hill Properties",8,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Vogel Stephen & Laurie",9,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"McConvey Katherine",10,"Percent of Net Grand List","Percent",0
"New Fairfield","0900150860",2014,"Eversource",1,"Percent of Top 10 Total Grand List","Percent",21.5
"New Fairfield","0900150860",2014,"Firstlight Hydro Generating Co",2,"Percent of Top 10 Total Grand List","Percent",20.05
"New Fairfield","0900150860",2014,"Charter New Fairfield",3,"Percent of Top 10 Total Grand List","Percent",17.65
"New Fairfield","0900150860",2014,"Twenty-Eight Route 39 LLC",4,"Percent of Top 10 Total Grand List","Percent",6.78
"New Fairfield","0900150860",2014,"Pritula Michael & Donna",5,"Percent of Top 10 Total Grand List","Percent",6.26
"New Fairfield","0900150860",2014,"Santomero Gloria",6,"Percent of Top 10 Total Grand List","Percent",5.96
"New Fairfield","0900150860",2014,"Larsen Jan & Galka-Larsen Theresa",7,"Percent of Top 10 Total Grand List","Percent",5.7
"New Fairfield","0900150860",2014,"Sugar Hill Properties",8,"Percent of Top 10 Total Grand List","Percent",5.58
"New Fairfield","0900150860",2014,"Vogel Stephen & Laurie",9,"Percent of Top 10 Total Grand List","Percent",5.4
"New Fairfield","0900150860",2014,"McConvey Katherine",10,"Percent of Top 10 Total Grand List","Percent",5.12
"New Fairfield","0900150860",2014,"Eversource",1,"Percent of Total Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Firstlight Hydro Generating Co",2,"Percent of Total Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Charter New Fairfield",3,"Percent of Total Grand List","Percent",0.01
"New Fairfield","0900150860",2014,"Twenty-Eight Route 39 LLC",4,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"Pritula Michael & Donna",5,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"Santomero Gloria",6,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"Larsen Jan & Galka-Larsen Theresa",7,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"Sugar Hill Properties",8,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"Vogel Stephen & Laurie",9,"Percent of Total Grand List","Percent",0
"New Fairfield","0900150860",2014,"McConvey Katherine",10,"Percent of Total Grand List","Percent",0
"New Hartford","0900551350",2015,"Metropolitan District Water Bureau",1,"Grand List Value","Number",11365910
"New Hartford","0900551350",2015,"CT Light & Power",2,"Grand List Value","Number",10211380
"New Hartford","0900551350",2015,"Home Depot USA",3,"Grand List Value","Number",7257330
"New Hartford","0900551350",2015,"Perry Technology Corp",4,"Grand List Value","Number",5640070
"New Hartford","0900551350",2015,"Altra Industrial Motion",5,"Grand List Value","Number",3870600
"New Hartford","0900551350",2015,"Ski Sundown Inc",6,"Grand List Value","Number",2870950
"New Hartford","0900551350",2015,"Rutsky Curtiss",7,"Grand List Value","Number",1993540
"New Hartford","0900551350",2015,"Zahnradfabrik LLC",8,"Grand List Value","Number",1753640
"New Hartford","0900551350",2015,"Hitchcock Properties",9,"Grand List Value","Number",1525930
"New Hartford","0900551350",2015,"PNL Nutmeg LLC",10,"Grand List Value","Number",1438120
"New Hartford","0900551350",2015,"Metropolitan District Water Bureau",1,"Percent of Net Grand List","Percent",1.73
"New Hartford","0900551350",2015,"CT Light & Power",2,"Percent of Net Grand List","Percent",1.56
"New Hartford","0900551350",2015,"Home Depot USA",3,"Percent of Net Grand List","Percent",1.11
"New Hartford","0900551350",2015,"Perry Technology Corp",4,"Percent of Net Grand List","Percent",0.86
"New Hartford","0900551350",2015,"Altra Industrial Motion",5,"Percent of Net Grand List","Percent",0.59
"New Hartford","0900551350",2015,"Ski Sundown Inc",6,"Percent of Net Grand List","Percent",0.44
"New Hartford","0900551350",2015,"Rutsky Curtiss",7,"Percent of Net Grand List","Percent",0.3
"New Hartford","0900551350",2015,"Zahnradfabrik LLC",8,"Percent of Net Grand List","Percent",0.27
"New Hartford","0900551350",2015,"Hitchcock Properties",9,"Percent of Net Grand List","Percent",0.23
"New Hartford","0900551350",2015,"PNL Nutmeg LLC",10,"Percent of Net Grand List","Percent",0.22
"New Hartford","0900551350",2015,"Metropolitan District Water Bureau",1,"Percent of Top 10 Total Grand List","Percent",23.71
"New Hartford","0900551350",2015,"CT Light & Power",2,"Percent of Top 10 Total Grand List","Percent",21.31
"New Hartford","0900551350",2015,"Home Depot USA",3,"Percent of Top 10 Total Grand List","Percent",15.14
"New Hartford","0900551350",2015,"Perry Technology Corp",4,"Percent of Top 10 Total Grand List","Percent",11.77
"New Hartford","0900551350",2015,"Altra Industrial Motion",5,"Percent of Top 10 Total Grand List","Percent",8.08
"New Hartford","0900551350",2015,"Ski Sundown Inc",6,"Percent of Top 10 Total Grand List","Percent",5.99
"New Hartford","0900551350",2015,"Rutsky Curtiss",7,"Percent of Top 10 Total Grand List","Percent",4.16
"New Hartford","0900551350",2015,"Zahnradfabrik LLC",8,"Percent of Top 10 Total Grand List","Percent",3.66
"New Hartford","0900551350",2015,"Hitchcock Properties",9,"Percent of Top 10 Total Grand List","Percent",3.18
"New Hartford","0900551350",2015,"PNL Nutmeg LLC",10,"Percent of Top 10 Total Grand List","Percent",3
"New Hartford","0900551350",2015,"Metropolitan District Water Bureau",1,"Percent of Total Grand List","Percent",1.7
"New Hartford","0900551350",2015,"CT Light & Power",2,"Percent of Total Grand List","Percent",1.53
"New Hartford","0900551350",2015,"Home Depot USA",3,"Percent of Total Grand List","Percent",1.08
"New Hartford","0900551350",2015,"Perry Technology Corp",4,"Percent of Total Grand List","Percent",0.84
"New Hartford","0900551350",2015,"Altra Industrial Motion",5,"Percent of Total Grand List","Percent",0.58
"New Hartford","0900551350",2015,"Ski Sundown Inc",6,"Percent of Total Grand List","Percent",0.43
"New Hartford","0900551350",2015,"Rutsky Curtiss",7,"Percent of Total Grand List","Percent",0.3
"New Hartford","0900551350",2015,"Zahnradfabrik LLC",8,"Percent of Total Grand List","Percent",0.26
"New Hartford","0900551350",2015,"Hitchcock Properties",9,"Percent of Total Grand List","Percent",0.23
"New Hartford","0900551350",2015,"PNL Nutmeg LLC",10,"Percent of Total Grand List","Percent",0.21
"New Haven","0900952070",2013,"UIL Holding Corp.",1,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"Winn-Stanley",2,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"Fusco",3,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"PSEG Power Connecticut",4,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"Yale",5,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"Carabetta",6,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"Chase",7,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"SNET",8,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"InterCont",9,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"MEPT",10,"Grand List Value","Number",-6666
"New Haven","0900952070",2013,"UIL Holding Corp.",1,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"Winn-Stanley",2,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"Fusco",3,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"PSEG Power Connecticut",4,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"Yale",5,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"Carabetta",6,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"Chase",7,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"SNET",8,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"InterCont",9,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"MEPT",10,"Percent of Net Grand List","Percent",-6666
"New Haven","0900952070",2013,"UIL Holding Corp.",1,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Winn-Stanley",2,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Fusco",3,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"PSEG Power Connecticut",4,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Yale",5,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Carabetta",6,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Chase",7,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"SNET",8,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"InterCont",9,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"MEPT",10,"Percent of Top 10 Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"UIL Holding Corp.",1,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Winn-Stanley",2,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Fusco",3,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"PSEG Power Connecticut",4,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Yale",5,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Carabetta",6,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"Chase",7,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"SNET",8,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"InterCont",9,"Percent of Total Grand List","Percent",-6666
"New Haven","0900952070",2013,"MEPT",10,"Percent of Total Grand List","Percent",-6666
"Newington","0900352140",2014,"Connecticut Light and Power Inc.",1,"Grand List Value","Number",37538380
"Newington","0900352140",2014,"Ireit Newington Fair LLC",2,"Grand List Value","Number",20376250
"Newington","0900352140",2014,"Newington VF LLC",3,"Grand List Value","Number",19941210
"Newington","0900352140",2014,"TLG Newington LLC",4,"Grand List Value","Number",17840490
"Newington","0900352140",2014,"Centro GA Turnpike Plaza LLC",5,"Grand List Value","Number",17360000
"Newington","0900352140",2014,"Newington Gross LLC",6,"Grand List Value","Number",17150000
"Newington","0900352140",2014,"Hayes Kaufman Newington",7,"Grand List Value","Number",12903881
"Newington","0900352140",2014,"Scelza/LandmarkCambridge/Baldwin",8,"Grand List Value","Number",11787831
"Newington","0900352140",2014,"Hartford Hospital",9,"Grand List Value","Number",11161100
"Newington","0900352140",2014,"Newington 2007 LLC",10,"Grand List Value","Number",10601870
"Newington","0900352140",2014,"Connecticut Light and Power Inc.",1,"Percent of Net Grand List","Percent",1.47
"Newington","0900352140",2014,"Ireit Newington Fair LLC",2,"Percent of Net Grand List","Percent",0.8
"Newington","0900352140",2014,"Newington VF LLC",3,"Percent of Net Grand List","Percent",0.78
"Newington","0900352140",2014,"TLG Newington LLC",4,"Percent of Net Grand List","Percent",0.7
"Newington","0900352140",2014,"Centro GA Turnpike Plaza LLC",5,"Percent of Net Grand List","Percent",0.68
"Newington","0900352140",2014,"Newington Gross LLC",6,"Percent of Net Grand List","Percent",0.67
"Newington","0900352140",2014,"Hayes Kaufman Newington",7,"Percent of Net Grand List","Percent",0.51
"Newington","0900352140",2014,"Scelza/LandmarkCambridge/Baldwin",8,"Percent of Net Grand List","Percent",0.46
"Newington","0900352140",2014,"Hartford Hospital",9,"Percent of Net Grand List","Percent",0.44
"Newington","0900352140",2014,"Newington 2007 LLC",10,"Percent of Net Grand List","Percent",0.42
"Newington","0900352140",2014,"Connecticut Light and Power Inc.",1,"Percent of Top 10 Total Grand List","Percent",21.25
"Newington","0900352140",2014,"Ireit Newington Fair LLC",2,"Percent of Top 10 Total Grand List","Percent",11.53
"Newington","0900352140",2014,"Newington VF LLC",3,"Percent of Top 10 Total Grand List","Percent",11.29
"Newington","0900352140",2014,"TLG Newington LLC",4,"Percent of Top 10 Total Grand List","Percent",10.1
"Newington","0900352140",2014,"Centro GA Turnpike Plaza LLC",5,"Percent of Top 10 Total Grand List","Percent",9.83
"Newington","0900352140",2014,"Newington Gross LLC",6,"Percent of Top 10 Total Grand List","Percent",9.71
"Newington","0900352140",2014,"Hayes Kaufman Newington",7,"Percent of Top 10 Total Grand List","Percent",7.3
"Newington","0900352140",2014,"Scelza/LandmarkCambridge/Baldwin",8,"Percent of Top 10 Total Grand List","Percent",6.67
"Newington","0900352140",2014,"Hartford Hospital",9,"Percent of Top 10 Total Grand List","Percent",6.32
"Newington","0900352140",2014,"Newington 2007 LLC",10,"Percent of Top 10 Total Grand List","Percent",6
